 strength = semiamplitude of R in solar mass,au,day
  pla  |p+q|:|p|     a(au)      e     i     argper        <R>      strength                   
    1   79   78    58.920829   0.64  27.36  54.88    1.4744E-02    4.3867E-06
    1   80   79    58.927124   0.64  27.36  54.88    1.4743E-02    4.1401E-06
    1   81   80    58.933263   0.64  27.36  54.88    1.4741E-02    3.4204E-06
    1   82   81    58.939252   0.64  27.36  54.88    1.4741E-02    3.1804E-06
    1   83   82    58.945096   0.64  27.36  54.88    1.4740E-02    3.4215E-06
    1   84   83    58.950801   0.64  27.36  54.88    1.4740E-02    3.6136E-06
    1   85   84    58.956371   0.64  27.36  54.88    1.4739E-02    3.3384E-06
    1   86   85    58.961812   0.64  27.36  54.88    1.4738E-02    2.6178E-06
    1   87   86    58.967127   0.64  27.36  54.88    1.4737E-02    2.4358E-06
    1   88   87    58.972322   0.64  27.36  54.88    1.4737E-02    2.7531E-06
    1   89   88    58.977399   0.64  27.36  54.88    1.4736E-02    2.9960E-06
    1   90   89    58.982363   0.64  27.36  54.88    1.4735E-02    2.6747E-06
    1   91   90    58.987218   0.64  27.36  54.88    1.4734E-02    1.9757E-06
    1   92   91    58.991968   0.64  27.36  54.88    1.4734E-02    1.8475E-06
    1   93   92    58.996615   0.64  27.36  54.88    1.4733E-02    2.2579E-06
    1   94   93    59.001163   0.64  27.36  54.88    1.4733E-02    2.4985E-06
    1   95   94    59.005615   0.64  27.36  54.88    1.4732E-02    2.1265E-06
    1   96   95    59.009974   0.64  27.36  54.88    1.4731E-02    1.5098E-06
    1   97   96    59.014243   0.64  27.36  54.88    1.4731E-02    1.4176E-06
    1   98   97    59.018425   0.64  27.36  54.88    1.4731E-02    1.9015E-06
    1   99   98    59.022522   0.64  27.36  54.88    1.4730E-02    2.0942E-06
    1  100   99    59.026537   0.64  27.36  54.88    1.4729E-02    1.6775E-06
    1    3    1    28.567770   0.64  27.36  54.88    1.7514E-02    1.5329E-03
    1    5    3    42.272507   0.64  27.36  54.88    1.6958E-02    4.7461E-04
    1    7    5    47.483036   0.64  27.36  54.88    1.6320E-02    3.7207E-04
    1    9    7    50.256726   0.64  27.36  54.88    1.5942E-02    2.7454E-04
    1   11    9    51.982487   0.64  27.36  54.88    1.5702E-02    2.0456E-04
    1   13   11    53.160623   0.64  27.36  54.88    1.5537E-02    1.5840E-04
    1   15   13    54.016350   0.64  27.36  54.88    1.5418E-02    1.2687E-04
    1   17   15    54.666181   0.64  27.36  54.88    1.5327E-02    1.0427E-04
