 strength = semiamplitude of R in solar mass,au,day
  pla  |p+q|:|p|     a(au)      e     i     argper        <R>      strength                   
    1   79   78    58.920829   0.91  11.97  36.97    1.3840E-02    1.4276E-06
    1   80   79    58.927124   0.91  11.97  36.97    1.3839E-02    1.4812E-06
    1   81   80    58.933263   0.91  11.97  36.97    1.3837E-02    6.5105E-07
    1   82   81    58.939252   0.91  11.97  36.97    1.3836E-02    1.1008E-06
    1   83   82    58.945096   0.91  11.97  36.97    1.3836E-02    1.3470E-06
    1   84   83    58.950801   0.91  11.97  36.97    1.3833E-02    6.8648E-07
    1   85   84    58.956371   0.91  11.97  36.97    1.3833E-02    7.7447E-07
    1   86   85    58.961812   0.91  11.97  36.97    1.3833E-02    1.2162E-06
    1   87   86    58.967127   0.91  11.97  36.97    1.3830E-02    7.4407E-07
    1   88   87    58.972322   0.91  11.97  36.97    1.3829E-02    4.7745E-07
    1   89   88    58.977399   0.91  11.97  36.97    1.3829E-02    1.0724E-06
    1   90   89    58.982363   0.91  11.97  36.97    1.3828E-02    7.8052E-07
    1   91   90    58.987218   0.91  11.97  36.97    1.3826E-02    2.2666E-07
    1   92   91    58.991968   0.91  11.97  36.97    1.3827E-02    9.2296E-07
    1   93   92    58.996615   0.91  11.97  36.97    1.3825E-02    7.9149E-07
    1   94   93    59.001163   0.91  11.97  36.97    1.3824E-02    7.5672E-08
    1   95   94    59.005615   0.91  11.97  36.97    1.3824E-02    7.7565E-07
    1   96   95    59.009974   0.91  11.97  36.97    1.3823E-02    7.8455E-07
    1   97   96    59.014243   0.91  11.97  36.97    1.3821E-02    1.3542E-07
    1   98   97    59.018425   0.91  11.97  36.97    1.3821E-02    6.3735E-07
    1   99   98    59.022522   0.91  11.97  36.97    1.3820E-02    7.6146E-07
    1  100   99    59.026537   0.91  11.97  36.97    1.3819E-02    2.4163E-07
    1    3    1    28.567770   0.91  11.97  36.97    1.9796E-02    3.6785E-03
    1    5    3    42.272507   0.91  11.97  36.97    1.7920E-02    1.0686E-03
